Control_MAB_siblings,Control_MAB_phenos,Injected_MAB_siblings,Injected_MAB_phenos
0.09226684683991965,0.08074389351824311,0.0929193165267484,0.08410304906870865
0.09348704334223348,0.08025862962970366,0.09262024820056389,0.08528284303313348
0.09147961979718355,0.08316278534813326,0.09307822022387607,0.08891879833262249
0.093054562729259,0.0866174093339768,0.09881048130374608,0.08668574829049054
0.09363915355042982,0.0888433479409341,0.09385260155985575,0.08548810058521632
0.0924733316165157,0.08401215329995472,0.09692719583640949,0.08528444177496677
0.09049876175865262,0.08349072257699627,0.09931700672790013,0.08565447014545326
0.08885318930360031,0.08772054941362112,0.09622060963853607,0.08361684723229326
0.08986820856684481,0.07913803821274346,0.08964765443842589,0.08650745924466147
0.08826012474726709,0.0843719199602954,0.1029748574645363,0.08286643152598447
0.08583344259934793,0.08564735003100829,0.09394812969251104,0.09083171715970861
0.09401019643711953,0.08323475124754952,0.09236601550659168,0.08323587100089205
0.09331673809612977,0.08230278364150381,0.09168587469495472,0.08396490447714927
0.09473636577955519,0.08271773237465069,0.09397592446299725,0.08202177735611034
0.0905317932954177,0.08342131733411204,0.08807105473390364,0.08829983295352986
0.09469516112871859,0.08542251948230947,0.0943983905562823,0.08500859368799864
0.0901480290359053,0.08390671506180415,0.09226921329100891,0.08226490954422788
0.09245565243737025,0.08443389295040438,0.09650411450771479,0.08490588306105112
0.08923216188571516,0.08357908804039835,0.09608083986236156,0.08522417045764641
0.08739101987970084,0.08738984556228517,0.09252245454299295,0.08113146809245513
0.08867821407965168,0.07776718098336746,0.0998594809386067,0.08307810457458331
0.08660966066894878,0.08271168528008119,0.09448940228740295,0.08223796548601713
0.08520969809097906,0.08385525604966645,,0.09131059432141918
0.09347059561529451,0.08200847185536676,,0.08561248973032592
