Control_MAB_siblings,Control_MAB_phenos,Injected_MAB_siblings,Injected_MAB_phenos
0.23136372725524487,0.2111930051738151,0.22116016137764108,0.21781869103407933
0.23173975008216902,0.21836283134640716,0.2258169759207934,0.2269168394236321
0.2261738686575956,0.22107974411465184,0.22261981525242436,0.23007425844597934
0.2351146302651818,0.22822760421401483,0.22927945405013322,0.2198252258008714
0.23300819368530876,0.22921383114504545,0.22707904694799858,0.2224312899185506
0.22907468371087533,0.22778867018604584,0.22535507631038776,0.2186494277113668
0.23417844943912636,0.21817466650213804,0.2385182210267825,0.22168749841440455
0.22392839168618792,0.23043963109542215,0.23642601025250382,0.22198178157552045
0.23521944727766889,0.2227304379986065,0.2307098525050042,0.212726781560103
0.23372994069523187,0.2272405346095352,0.23679606111936033,0.2144311745739988
0.2214772641349546,0.2217582204088769,0.22366052254784893,0.2287896791289568
0.2354003611980037,0.2197593975143705,,0.22416390750796936
