Control,Injected
317.7233923222923,291.5478967362226
305.6705463440472,283.79763456393795
317.97540475677715,307.798535741038
313.54129585691345,304.576390529695
328.8930360485384,298.0323331193152
308.9943014448082,301.2126683788122
319.81254970259596,280.76984408774746
313.57476484347234,295.12203638309256
301.58381989223005,288.1208486891386
318.6894074661115,287.10418228999464
325.5382486611809,292.7651159443553
316.48148106255195,296.2763570893526
309.9591341437361,290.6439570358481
317.57661294289056,298.5999532370252
312.3960376425254,284.9609721776351
318.86185264701305,287.2093563937935
312.35297291744905,295.57990096308185
315.5626529147983,294.0047386302836
312.75253966663246,287.6317551096844
319.8164821806963,295.9234044408775
325.8787330774121,294.8969750668807
312.1985608859827,293.8043930444088
325.29732432918,303.0891349384698
310.1182085913602,297.7586599785982
321.87634263944994,303.3212430176565
316.89430463544863,307.65423590155166
325.37810608067815,283.2631886035313
302.55665831294897,299.6715347244516
321.8955542741178,288.001049117175
321.57946136962255,302.2283691278759
309.3366762305327,294.37130882825045
318.5311018124921,304.36533590155165
322.2125523169381,288.0572310861424
318.43617495437206,297.8333217228465
322.5321787994341,286.81009946495453
315.498116233422,303.194689941145
328.7214142544137,285.9968751738898
319.4374096853173,295.2057616907437
318.09072667264866,284.9744927768861
320.3669754606783,294.5124662386303
315.15265143701384,
324.0657739651081,
327.12895112492413,
325.10842477786514,
