Control,Injected
0.2313818803535041,0.22353585655626024
0.223660199600356,0.2407134542788666
0.22797224043380723,0.22695978690330884
0.22826644538433902,0.2388647185431618
0.22281482692587046,0.2292902644860802
0.22129970295051168,0.23760432737070472
0.23026014433655273,0.24874661706363616
0.23619950698967468,0.24404789763690088
0.21899405421352985,0.23370884360701066
0.22687661850510416,0.21975812843008938
0.23020397921273913,0.24539286171595373
0.2350050651306407,0.22443748719556855
0.23262602989884623,0.24246829187633967
0.23303957422549798,0.22257348237293878
0.23838942215859527,0.21810641888260562
0.22544891149250176,0.22009331891305206
0.2444573422278036,0.2349510978355111
0.21168452180319355,0.2217964165716867
0.23226849942589306,0.22630261045963865
0.2251565875114163,0.22677137420296414
0.23255133669818664,
0.2286899182569564,
