Control,Injected
3380.1102442999836,3259.8060971969153
3385.0898691218163,2903.017819506291
3306.6886183962824,3303.9454712011266
3413.286991944744,3072.946667970182
3503.7859086875305,3193.8648334043673
3530.7818467692978,3050.2623111282446
3472.292532866806,2850.8279336601945
3354.974265509576,3039.08798976059
3482.0484384547945,3050.4661326619607
3615.2669465962726,3155.908327272156
3456.500117730088,2936.959285359804
3437.1118227910615,3148.4864893138606
3440.922274012294,3025.9628531851686
3439.98348434002,3175.583708363949
3545.4043623956277,3200.9248639079215
3481.552426162137,3219.7949543255727
3417.069392257553,3018.83428293365
3508.482397465431,3279.8122004324905
3419.1983181964015,3201.543099599222
3573.3081047857213,3213.718266204486
3532.3688765647744,
3463.315054541633,
