Control,Injected
0.5207904169358379,0.420449286
0.5038231356021586,0.40627179
0.5699517085137749,0.480178081
0.5468833101886877,0.510043065
0.5466475755000912,0.428566654
0.5094077338236277,0.486694264
0.5561784651882067,0.431474996
0.5392039609564505,0.444810827
0.5052954207637234,0.415006165
0.501068441564101,0.43477817
0.5447146259530712,0.429320199
0.5328045461989175,0.483639604
0.5154082389274279,0.418327366
0.5184281502221061,0.494681014
0.5230629988239128,0.415619083
0.5310552253159534,0.42669526
0.5321668786424294,0.502855421
0.5461160873549572,0.447849553
0.5432742638952958,0.479309597
0.5265509762314723,0.475851253
0.5152764604190484,0.463583242
0.4976451389572934,0.483213953
0.5543555178972427,0.495790314
0.5320401104414102,0.551983216
0.5524837009947758,0.479210688
0.5514278755541094,0.477926957
0.556023470597484,0.451601374
0.5140952257117652,0.488325615
0.5673801586032504,0.464119039
0.5662401504716532,0.460817767
0.5342381651856631,0.426329572
0.5278784822638766,0.497483014
0.5309846797722194,0.420651076
0.5757210808696216,0.474777153
0.5626729967625653,0.473417619
0.5400705784003992,0.490201285
0.5752846002831189,0.467066986
0.5538464232009055,0.478242654
0.5426974069015392,0.508635351
0.5255582795935195,0.506352702
0.5499275777337622,
0.5577707465842002,
0.556404977297166,
0.5477076152108469,
