Control,Injected
3378.494146726757,3233.9576280365955
3401.190636258659,2914.087864636223
3292.2115826811914,3298.8799589770147
3427.309482760491,3080.6932021588027
3510.7175789049766,3163.653016754878
3557.69809597003,3005.576138573502
3444.5705456341825,2855.9342731426186
3318.1356366868395,3027.4323470667364
3459.454047053114,3061.4827763265566
3610.647494589643,3135.564311276748
3476.715276157944,2954.160813699925
3429.8889402558593,3166.7599158197763
3434.2788538981454,3062.9611529830727
3413.434442119201,3175.004671285674
3525.3922766202986,3203.558364428514
3474.4158354458136,3183.7703918511643
3397.379444713713,2972.104131757472
3518.2836115413256,3280.6140881160486
3402.8399547893523,3113.2771678819126
3571.5401371000116,3225.681496373878
3522.8187148582747,3285.6545663572356
3427.313057456051,2891.947774376358
3381.7263418732105,3309.010983425238
3368.9891019849733,3065.200133781561
3321.165654111373,3224.076650053856
3399.2645011289974,3094.948483682988
3496.854238470084,2845.721594177771
3503.865597568566,3050.743632454444
3500.0145200994293,3039.449488997365
3391.812894332312,3176.252343267564
3504.6428298564747,2919.7577570196836
3619.886398602903,3130.213062807945
3436.2849593022315,2988.9645533872645
3444.3347053262637,3176.1627454422246
3447.565694126443,3198.2913633873286
3466.532526560839,3255.8195167999816
3565.4164481709568,3065.5644341098277
3488.6890168784607,3279.010312748932
3436.759339801393,3289.8090313165308
3498.6811833895363,3201.7550360350942
3435.55668160345,
3575.0760724714305,
3541.919038271274,
3499.3170516272144,
