Control_MAB_siblings,Control_MAB_phenos,Injected_MAB_siblings,Injected_MAB_phenos
0.4075892097474566,0.38736452143330136,0.42009524339913784,0.3841244292069331
0.4013487796502062,0.36929535087584353,0.41078312359348446,0.3768157325364674
0.4054417612870167,0.3761752265200219,0.4211573979435279,0.3899016896873475
0.389038242071099,0.37824039155134126,0.42323517148277634,0.38915478133885056
0.40577773628498714,0.38493346668996153,0.41084510106042954,0.3877619146950253
0.40291019166972136,0.37545147036047544,0.42325722411668726,0.387937693978291
0.39166071332248836,0.3803510039737054,0.41644699690386644,0.3970114699599854
0.39375953066847147,0.3788096870465951,0.40257557099700647,0.3827586938603398
0.37539655188182597,0.3568155322948058,0.39757655449426865,0.4104632322858234
0.3743759923601468,0.36887198927560017,0.43373166977011485,0.38821975121431357
0.39491777091046787,0.388535342145565,0.4155727414695596,0.3939678729610449
0.40045839744350253,0.40241757327792976,0.41769252931418094,0.36580896806590885
0.39482164028189803,0.38468796425686524,0.40539020248025087,0.38749939856547994
0.4109232828224536,0.37701904160698185,0.4190543304542061,0.3605307054938698
0.39932789859022055,0.37732704311020415,0.3911084295457698,0.3804612673947211
0.40971380462416757,0.37556690879921906,0.4181720408697674,0.3918908570704122
0.3832842906539625,0.3685460409349661,0.4160382864789251,0.36657149365948366
0.40438632878226544,0.3642373815518432,0.40454492396350356,0.39042829910747573
0.3761323515833236,0.38545586617625877,0.41083451682595656,0.3743920270580623
0.3932343184307744,0.38111883327257295,0.39210007320092083,0.35982509856098105
0.3836557598776971,0.3477420952978469,0.4227931381019421,0.38701669745716627
0.37368461657189384,0.36634669048523316,0.42696614774857744,0.3817778866362792
0.37769139372206256,0.3759654815551908,,0.402266216560528
0.3960196582044975,0.3527960372775075,,0.38782673416585955
