Control_MAB_siblings,Control_MAB_phenos,Injected_MAB_siblings,Injected_MAB_phenos
326.0675581366698,285.80830276262225,307.95430447115876,278.92603151665645
326.88098684904776,289.55986662624576,306.7182689880155,272.6632690824706
320.3336715035456,302.42273795780505,302.96988648005,280.21749776532096
326.40567463645755,315.1221948009257,312.72510079315424,283.3289439515719
321.3757628708986,311.3159322749157,291.83254796758223,274.3120028378126
331.035402120885,296.5969051902424,299.90365384647737,281.4597176269226
318.5264387944516,304.07057356543925,291.2034922242384,275.6108515213415
321.4229585584942,313.65721686367846,301.8657746286435,266.35491046090283
311.78189643945024,270.2037023106787,292.4230051138368,278.3489244907768
305.94440305419533,295.42628764752516,305.42689454327,275.11282941365613
309.5717223823943,300.7442335354453,300.5261580265465,285.4971967421563
330.17854418484296,305.09536811331566,305.8459323427021,281.32839316011916
330.02062008171515,290.7900850710794,298.93981424659967,276.99279090072605
330.642804399242,297.62696745321165,301.5409588713058,264.80094914014364
321.63993898942266,302.151708079882,284.79419067131835,279.35255173211846
339.4189418862357,308.88956550664534,298.0009214328097,279.99926712840244
316.8630066480377,302.34265008073345,291.36016268090594,261.31715850867886
328.0819183352659,298.4011780605055,283.71391517515207,282.64911783255195
319.88686798768236,302.6088649757593,304.72789010169305,273.9213948382596
322.3280435611926,309.13821732184897,299.9637243547646,260.69028660656863
314.9359734235655,276.2264104246616,302.95467283856556,272.152023106029
310.16412411632507,294.1201669409418,308.95276593393606,273.60893066622685
307.5272411702841,303.69257319413236,,281.7793080191792
338.32968277543245,306.0257892112135,,286.029483808799
